Library Full Name,Library Number,Year,Ontario Library Service Region,Service Type,Mailing Address,Street Address,City/Town,Province,Postal Code,Web Site Address,No. Cardholders,English Print Titles Held,French Print Titles Held,Other Print Titles Held,Total Print Titles Held,English E-book and E-audio Titles,French E-book and E-audio Titles,Other E-book and E-audio Titles,Total E-book and E-audio Titles
Addington Highlands Twp,L0005,2019,Southern Ontario Library Service,Public or Union Library,3641 Flinton Rd. Box 72 ,3641 Flinton Rd. ,Flinton,Ontario,K0H1P0,www.addingtonhighlandspubliclibrary.ca,910,"11,343",25,0,"11,368",0,0,0,0
Adjala-TosorontioTwp,L0003,2019,Southern Ontario Library Service,Contracting Municipality,7855 Sideroad 30 R.R. #1 ,7855 Sideroad 30 R.R. #1 ,Alliston,Ontario,L9R1V1,www.adjtos.ca,0,0,0,0,0,0,0,0,0
Admaston/Bromley Twp,L0002,2019,Southern Ontario Library Service,Public or Union Library,Hwy 60 P O Box 130 ,5346 Highway 60 ,Douglas,Ontario,K0J1S0,http://www.admastonbromleylibrary.com,417,"9,185",77,0,"9,262","79,567",613,39,"80,219"
Ajax,L0032,2019,Southern Ontario Library Service,Public or Union Library,55 Harwood Avenue South ,55 Harwood Avenue South ,Ajax,Ontario,L1S2H8,ajaxlibrary.ca,"37,004","96,848","7,122","6,288","110,258","25,455",0,0,"25,455"
Alberton Twp,L1098,2019,Ontario Library Service - North,Contracting Municipality,3 Highway 611 South RR1B2 ,3 Highway 611 South RR1B2 ,Township of Alberton,Ontario,P9A3M2,http://www.alberton.ca/,0,0,0,0,0,0,0,0,0
Alderville FN,L0390,2019,Southern Ontario Library Service,First Nations Library,10836 County Road 2 P.O. Box 46 ,10836 County Road 2 P.O. Box 46 ,Roseneath,Ontario,K0K2X0,http://aldervillelearningcentre.com/index.php/library.html,190,"5,743",0,23,"5,766","79,423",613,39,"80,075"
Alfred & Plantagenet Twp,L0004,2019,Southern Ontario Library Service,Public or Union Library,C.P. 10 ,1963 rue de l'H¿tel de Ville C.P. 10 ,Lefaivre,Ontario,K0B1J0,www.alfred-plantagenet.ca,"2,048","10,365","29,447",0,"39,812","79,423","6,803",39,"86,265"
Algonquins of Pikwakanagan FN,L0391,2019,Southern Ontario Library Service,First Nations Library,1657 A Mishomis Inamo ,1657 A Mishomis Inamo ,Golden Lake,Ontario,K0J1X0,http://algonquinsofpikwakanagan.com/library.php,67,"3,256",0,0,"3,256",0,0,0,0
Alnwick/Haldimand Twp,L0487,2019,Southern Ontario Library Service,Public or Union Library,2363 County Road 23 ,,Grafton,Ontario,K0K2G0,www.alnwickhaldimand.ca,642,"17,766",0,0,"17,766","84,282",613,39,"84,934"
Amaranth Twp,L0012,2019,Southern Ontario Library Service,Contracting Municipality,374028 6th Line ,374028 6th Line ,Amaranth,Ontario,L9W0M6,www.amaranth-eastgary.ca,0,0,0,0,0,0,0,0,0
Archipelago Twp,L0345,2019,Ontario Library Service - North,Contracting Municipality,9 James Street ,,Parry Sound,Ontario,P2A1T4,www.thearchipelago.on.ca,0,0,0,0,0,0,0,0,0
Armstrong Twp,L0013,2019,Ontario Library Service - North,Public or Union Library,C.P. 39 ,35 10th Street ,Earlton,Ontario,P0J1E0,http://www.olsn.ca/armstrong,258,"4,890","4,494",0,"9,384",0,0,0,0
Arnprior,L0014,2019,Southern Ontario Library Service,Public or Union Library,21 Madawaska Street ,21 Madawaska Street ,Arnprior,Ontario,K7S1R6,www.arnpriorlibrary.ca,"5,104","49,297",870,0,"50,167","79,423",613,39,"80,075"
Asphodel-Norwood,L0016,2019,Southern Ontario Library Service,Public or Union Library,- P.O. Box 100 ,2363 County Road 45 ,Norwood,Ontario,K0L2V0,www.anpl.org,606,"13,566",15,0,"13,581","79,423",613,39,"80,075"
Assiginack Twp,L0017,2019,Ontario Library Service - North,Public or Union Library,Manitowaning Box 280 ,25A Spragge St. ,Manitoulin Island,Ontario,P0P1N0,www.assiginacklibrary.org,759,"12,537",0,0,"12,537","79,423",613,39,"80,075"
Athens Twp,L0018,2019,Southern Ontario Library Service,Public or Union Library,P.O. Box 309 ,5 Central Street ,Athens,Ontario,K0E1B0,www.athenslibrary.ca,412,"8,446",72,0,"8,518","79,423",613,39,"80,075"
Atikameksheng Anishnawbek Band No. 6 FN,L0424,2019,Ontario Library Service - North,First Nations Library,25 reserve road ,212 Maaini Street ,Whitefish First Nation,Ontario,P0M2M0,http://www.wlfn.com,500,"1,500",0,0,"1,500",0,0,0,0
Atikokan,L0011,2019,Ontario Library Service - North,Public or Union Library,214 Skyes St. ,214 Sykes St. ,Atikokan,Ontario,P0T1C0,www.aplibrary.org,"1,283","32,572",217,0,"32,789","79,423",613,39,"80,075"
Augusta Twp,L0010,2019,Southern Ontario Library Service,Public or Union Library,R.R. #2 ,4500 County Road 15 ,Brockville,Ontario,K6V5T2,augustalibrary.com,"2,544","19,593",295,0,"19,888","79,423",613,39,"80,075"
Aundeck-Omni-Kaning FN,L1035,2019,Ontario Library Service - North,First Nations Library,P.O. Box 21  RR #1 ,13 Hill Street ,Little Current,Ontario,P0P1K0,,41,998,0,0,998,"82,191",619,41,"82,851"
Aurora,L0033,2019,Southern Ontario Library Service,Public or Union Library,15145 Yonge Street ,Yonge Street ,Aurora,Ontario,L4G1M1,www.aurorapl.ca,"30,625","101,706","4,504","1,656","107,866","230,794","2,964","1,448","235,206"
Aweres LSB,L0488,2019,Ontario Library Service - North,Contracting LSB,399 A Hwy 17 N ,399 A Hwy 17 N ,Aweres Twp.,Ontario,P6A5K7,localservicesboardofaweres@shaw.ca,0,0,0,0,0,0,0,0,0
Baldwin Twp,L0061,2019,Ontario Library Service - North,Contracting Municipality,P.O. Box 7095 ,11 Spooner St ,McKerrow,Ontario,P0P1M0,www.townshipofbaldwin.ca,0,0,0,0,0,0,0,0,0
Bancroft Town,L0062,2019,Southern Ontario Library Service,Public or Union Library,P.O. Box 127 ,14 Flint Street ,Bancroft,Ontario,K0L1C0,bancroftlibrary@bellnet.ca,"1,429","17,533",0,0,"17,533","79,423",613,39,"80,075"
Barrie,L0043,2019,Southern Ontario Library Service,Public or Union Library,60 Worsley St ,48 Dean Ave ,Barrie,Ontario,L4N0C2,library.barrie.ca,"37,425","130,128","9,242","3,403","142,773","14,324","6,193",358,"20,875"
Beausoleil First Nation Public Library,L0393,2019,Southern Ontario Library Service,First Nations Library,150 Mkade Kegwin MIIkan ,150 Mkade Kegwin MIIkan ,Christian Island,Ontario,L9M0A9,http://www.olsn.ca/bfnlibrary,377,"6,523",0,365,"6,888",0,0,0,0
Beckwith Twp,L0035,2019,Southern Ontario Library Service,Contracting Municipality,1702 9th Line Beckwith R.R.#2 ,1702 9th Line Beckwith R.R.#2 ,Carleton Place,Ontario,K7C3P2,www.twp.beckwith.on.ca,0,0,0,0,0,0,0,0,0
Belleville,L0081,2019,Southern Ontario Library Service,Public or Union Library,254 Pinnacle Street ,,Belleville,Ontario,K8N3B1,www.bellevillelibrary.com,"21,058","61,686","1,229",388,"63,303","79,423",613,39,"80,075"
Big Grassy FN,L0394,2019,Ontario Library Service - North,First Nations Library,P.O. Box 453 ,513 Beach Rd. ,Morson,Ontario,P0W1J0,www.biggrassy.ca/library,260,"9,200",0,0,"9,200",0,0,0,0
Biigtigong Nishnaabeg,L0456,2019,Ontario Library Service - North,First Nations Library,P. O. Box 216 ,21 Rabbit Drive ,Heron Bay,Ontario,P0T1R0,,85,"1,300",0,36,"1,336",0,0,0,0
Billings Twp,L0082,2019,Ontario Library Service - North,Public or Union Library,18 Upper Street P.O. Box 37 ,18 Upper Street P.O. Box 37 ,Kagawong,Ontario,P0P1J0,www.olsn.ca/billingslibrary,252,"6,187",0,0,"6,187","79,423",613,39,"80,075"
Bkejwanong FN,L0462,2019,Southern Ontario Library Service,First Nations Library,Walpole Island First Nation R.R. #3 ,136 Tecumseh Road ,Wallaceburg,Ontario,N8A4K9,www.bkejwanonglibrary.ca,657,"12,340",0,0,"12,340",0,0,0,0
Black River-Matheson Twp,L0083,2019,Ontario Library Service - North,Public or Union Library,P.O. Box 450 ,352 Second Street ,Matheson,Ontario,P0K1N0,,"1,031","16,026",879,0,"16,905",40,0,0,40
Blind River,L0429,2019,Ontario Library Service - North,Public or Union Library,8 Woodward Avenue P.O. Box 880 ,8 Woodward Avenue ,Blind River,Ontario,P0R1B0,http://www.olsn.ca/blindriverlibrary/,903,"15,073","2,850",0,"17,923","79,423",613,39,"80,075"
Bonfield,L0084,2019,Ontario Library Service - North,Public or Union Library,365 Highway 531 ,365 Highway 531 ,Bonfield,Ontario,P0H1E0,www.olsn.ca/bonfield,525,"10,108",957,0,"11,065","79,423",613,39,"80,075"
Bonnechere Union,L0080,2019,Southern Ontario Library Service,Public or Union Library,74 A Maple Street P.O. Box 39 ,74 A Maple Street ,Eganville,Ontario,K0J1T0,www.bonnechereupl.com,"1,796","11,357",186,0,"11,543","79,423",613,39,"80,075"
Bracebridge,L0070,2019,Southern Ontario Library Service,Public or Union Library,94 Manitoba Street ,94 Manitoba Street ,Bracebridge,Ontario,P1L2B5,www.bracebridge.library.on.ca,"7,663","30,911",485,0,"31,396","82,320",667,144,"83,131"
Bradford West Gwillimbury Town,L0086,2019,Southern Ontario Library Service,Public or Union Library,425 Holland Street West ,425 Holland Street West ,Bradford,Ontario,L3Z0J2,www.bradford.library.on.ca,"24,164","78,356","3,078","2,511","83,945","34,233",146,375,"34,754"
Brampton,L0041,2019,Southern Ontario Library Service,Public or Union Library,65 Queen Street East ,,Brampton,Ontario,L6W3L6,www.bramptonlibrary.ca,"149,657","144,446","7,060","11,568","163,074","209,668","6,810",171,"216,649"
Brant County,L0040,2019,Southern Ontario Library Service,Public or Union Library,12 William Street ,12 William Street ,Paris,Ontario,N3L1K7,www.brantlibrary.ca,"13,067","61,947",810,0,"62,757","3,769",0,0,"3,769"
Brantford,L0039,2019,Southern Ontario Library Service,Public or Union Library,173 Colborne Street ,,Brantford,Ontario,N3T2G8,brantford.library.on.ca,"17,340","132,623","1,697","2,637","136,957","22,788",0,0,"22,788"
Brighton Public Library Board,L0466,2019,Southern Ontario Library Service,Public or Union Library,35 Alice St P.O. Box 129 ,35 Alice Street ,Brighton,Ontario,K0K1H0,www.brighton.library.on.ca,"2,606","26,050",145,22,"26,217","79,547",613,39,"80,199"
Britt Area,L0322,2019,Ontario Library Service - North,LSB Library,P.O. Box 2 ,841 Riverside Drive ,Britt,Ontario,P0G1A0,britt.lib@hotmail.com,213,"8,069",43,0,"8,112",90,0,0,90
Brock Twp,L0038,2019,Southern Ontario Library Service,Public or Union Library,P.O. Box 310 ,401 Simcoe Street North ,Beaverton,Ontario,L0K1A0,www.brocklibraries.ca,"2,792","42,672",627,55,"43,354","80,277",613,39,"80,929"
Brockville,L0088,2019,Southern Ontario Library Service,Public or Union Library,P.O. Box 100 ,23 Buell Street ,Brockville,Ontario,K6V5T7,www.brockvillelibrary.ca,"7,035","33,402",620,28,"34,050","79,431",613,39,"80,083"
Bruce County,L0089,2019,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",1243 Mackenzie Road ,,Town of Saugeen Shores,Ontario,N0H2C6,library.brucecounty.on.ca,"25,312","73,435",794,13,"74,242","83,937",613,39,"84,589"
Bruce Mines & Plummer Additional Union,L0044,2019,Ontario Library Service - North,Public or Union Library,33 Desbarats Street P.O. Box 249 ,33 Desbarats Street ,Bruce Mines,Ontario,P0R1C0,www.bruceminesandplummerlibrary.ca,652,"11,600",0,0,"11,600","79,423",613,39,"80,075"
"Brudenell, Lyndoch & Raglan Twp",L0078,2019,Southern Ontario Library Service,Contracting Municipality,42 Burnt Bridge Road   Box 40 ,,Palmer Rapids,Ontario,K0J2E0,,0,0,0,0,0,0,0,0,0
"Burk's Falls, Armour & Ryerson Union",L0090,2019,Ontario Library Service - North,Public or Union Library,Copeland Street P.O. Box 620 ,39 Copeland Street ,Burk's Falls,Ontario,P0A1C0,www.burksfallslibrary.com,791,"12,617",80,0,"12,697","79,423",613,39,"80,075"
Burlington,L0037,2019,Southern Ontario Library Service,Public or Union Library,2331 New Street ,,Burlington,Ontario,L7R1J4,www.bpl.on.ca,"106,661","164,869","4,624","5,026","174,519","22,246",271,323,"22,840"
Caledon,L0049,2019,Southern Ontario Library Service,Public or Union Library,6500 Old Church Road ,,Caledon East,Ontario,L7C0H3,www.caledon.library.on.ca,"14,017","59,979","2,333",460,"62,772","152,765","2,986","1,422","157,173"
Callander,L1036,2019,Ontario Library Service - North,Public or Union Library,30 Catherine Street P. O. Box 149 ,,Callander,Ontario,P0H1H0,mycallander.ca,"2,058","12,467",548,0,"13,015","79,423",613,39,"80,075"
"Calvin, Municipality of",L0092,2019,Ontario Library Service - North,Contracting Municipality,1355 Peddlers Dr. R.R. #2 ,1355 Peddlers Dr. R.R. #2 ,Mattawa,Ontario,P0H1V0,www.calvintownship.ca,0,0,0,0,0,0,0,0,0
Cambridge,L0104,2019,Southern Ontario Library Service,Public or Union Library,1 North Square ,1 North Square ,Cambridge,Ontario,N1S2K6,www.ideaexchange.org,"42,317","92,086","2,327",518,"94,931","38,260",207,311,"38,778"
Carleton Place,L0048,2019,Southern Ontario Library Service,Public or Union Library,101 Beckwith Street ,101 Beckwith Street ,Carleton Place,Ontario,K7C2T3,www.carletonplacelibrary.ca,"6,945","36,230","1,734",0,"37,964","79,599","6,803",0,"86,402"
Carling Twp,L0093,2019,Ontario Library Service - North,Contracting Municipality,2 West Carling Bay Rd RR1 ,29 Mary Street ,Parry Sound,Ontario,P2A1E3,www.carlingtownship.ca,0,0,0,0,0,0,0,0,0
Carlow/Mayo Public Library,L0106,2019,Southern Ontario Library Service,Public or Union Library,R.R. #4 ,124 Fort Stewart Road ,Bancroft,Ontario,K0L1C0,,350,"5,410",43,0,"5,453","79,423",613,39,"80,075"
Casey Twp,L0094,2019,Ontario Library Service - North,Contracting Municipality,P.O. Box 460 ,6 Lachapelle Street ,Belle Vallee,Ontario,P0J1A0,harlytwp@parolink.net,0,0,0,0,0,0,0,0,0
Casselman,L0107,2019,Southern Ontario Library Service,Public or Union Library,764 rue Br¿ beuf   C.P. 340 ,,Casselman,Ontario,K0A1M0,www.bibliocasselman.ca,250,0,0,0,0,"79,423",613,39,"80,075"
"Cavan Monaghan Public Library Board, Township of",L0045,2019,Southern Ontario Library Service,Public or Union Library,1 Dufferin Street ,,Millbrook,Ontario,L0A1G0,cavanmonaghanlibraries.ca,"2,500","24,161",559,5,"24,725","79,423",613,39,"80,075"
Central Manitoulin Twp,L0109,2019,Ontario Library Service - North,Public or Union Library,6020 Hwy 542 P.O. Box 210 ,6020 Hwy 542 ,Mindemoya,Ontario,P0P1S0,www.centralmanitoulin.ca,"2,528",289,8,0,297,0,0,0,0
Centre Hastings,L0110,2019,Southern Ontario Library Service,Public or Union Library,P.O. Box 6 ,20 Davidson Street ,Madoc,Ontario,K0K2K0,madocpubliclibrary.ca,"1,100","17,648",12,0,"17,660","79,423",613,39,"80,075"
Chamberlain Twp,L0103,2019,Ontario Library Service - North,Contracting Municipality,467501 Chamberlain Road 5 R.R. #3 ,467501 Chamberlain Road 5 ,Englehart,Ontario,P0J1H0,chamberlaintownship.com,0,0,0,0,0,0,0,0,0
Champlain Twp,L0108,2019,Southern Ontario Library Service,Public or Union Library,94 Main Street East P.O. Box 520 ,94 Main Street East ,Vankleek Hill,Ontario,K0B1R0,www.bc-cl.ca,"2,189","11,282","4,348",0,"15,630","79,486","6,803",39,"86,328"
Chapleau Twp,L0112,2019,Ontario Library Service - North,Public or Union Library,20 Pine West 910 ,20 Pine West 910 ,Chapleau,Ontario,P0M1K0,www.olsn.ca/chapleau,334,"17,089","3,366",0,"20,455","79,423","6,803",39,"86,265"
Chapple Twp,L0097,2019,Ontario Library Service - North,Contracting Municipality,54 Barwick Road P.O. Box 4 ,54 Barwick Road ,Barwick,Ontario,P0W1A0,www.chapple.on.ca,0,0,0,0,0,0,0,0,0
"Charlton and Dack, Municipality of",L1034,2019,Ontario Library Service - North,Contracting Municipality,287237 Sprucegrove Road ,287237 Sprucegrove Road ,Englehart,Ontario,P0J1H0,charltonanddack.com,0,0,0,0,0,0,0,0,0
Chatham-Kent,L0121,2019,Southern Ontario Library Service,Public or Union Library,120 Queen Street ,120 Queen Street ,Chatham,Ontario,N7M2G6,www.ckpl.ca,"33,223","130,595","3,427","2,045","136,067","99,469","6,803",39,"106,311"
Chippewas of Georgina Island FN,L0396,2019,Southern Ontario Library Service,First Nations Library,Box N-13 R.R. #2 ,830 Chief Joseph Snake Road ,Sutton West,Ontario,L0E1R0,,224,2,0,0,2,0,0,0,0
Chippewas of Kettle & Stony Point FN,L0397,2019,Southern Ontario Library Service,First Nations Library,6265 Indian Lane #5 ,6265 Indian Lane #5 ,Kettle and Stony Point,Ontario,N0N1J1,http://ksplibrary.com,327,"1,249",0,0,"1,249",0,0,0,0
Chippewas of Nawash FN,L0411,2019,Southern Ontario Library Service,First Nations Library,R.R. #5 ,,Wiarton,Ontario,N0H2T0,,100,50,0,0,50,2,0,0,2
Chippewas of Rama FN,L0398,2019,Southern Ontario Library Service,First Nations Library,5884 Rama Road Suite 200 ,6147 Rama Road ,Rama,Ontario,L3V6H6,,805,"14,885",0,0,"14,885",0,0,0,0
Clarence-Rockland,L0120,2019,Southern Ontario Library Service,Public or Union Library,2-1525 avenue du Parc ,,Rockland,Ontario,K4K1C3,www.clarence-rockland.ca,"9,328","19,584","23,675",0,"43,259","79,423","6,803",39,"86,265"
"Clarington, Municipality of",L0113,2019,Southern Ontario Library Service,Public or Union Library,163 Church Street ,,Bowmanville,Ontario,L1C1T7,http://www.clarington-library.on.ca,"38,320","71,191","3,923",90,"75,204","94,046",864,56,"94,966"
Clearview Twp,L0115,2019,Southern Ontario Library Service,Public or Union Library,201 Huron Street 160 ,201 Huron Street 160 ,Stayner,Ontario,L0M1S0,www.clearview.library.on.ca,"2,756","47,764",860,0,"48,624","13,255",146,375,"13,776"
Cobalt Twp,L0102,2019,Ontario Library Service - North,Public or Union Library,P.O. Box 170 ,30 Lang Street ,Cobalt,Ontario,P0J1C0,cobaltlibrary.com,350,"9,948",175,0,"10,123","79,423",613,39,"80,075"
Cobourg,L0116,2019,Southern Ontario Library Service,Public or Union Library,200 Ontario Street ,200 Ontario Street ,Cobourg,Ontario,K9A5P4,www.cobourg.library.on.ca,"10,020","49,356",830,96,"50,282","79,423",613,39,"80,075"
Cochrane Public Library Board,L0117,2019,Ontario Library Service - North,Public or Union Library,P.O. Box 700 ,178 4th Avenue ,Cochrane,Ontario,P0L1C0,www.olsn.ca/cochrane/,"2,016","22,878","5,579",0,"28,457","79,423",613,39,"80,075"
Coleman Twp,L0101,2019,Ontario Library Service - North,Contracting Municipality,R R # 1 ,937907 Marsh Bay Road ,Coleman Township,Ontario,P0J1C0,colemantownship.com,0,0,0,0,0,0,0,0,0
Collingwood,L0066,2019,Southern Ontario Library Service,Public or Union Library,55 St. Marie Street ,55 St. Marie Street ,Collingwood,Ontario,L9Y0W6,http://www.collingwoodpubliclibrary.ca,"9,160","47,906",447,2,"48,355","13,225",146,375,"13,746"
Cornwall,L0047,2019,Southern Ontario Library Service,Public or Union Library,Second Street East  P.O. Box 939 ,45 Second Street East ,Cornwall,Ontario,K6H1Y2,www.library.cornwall.on.ca,"11,737","81,861","26,871","2,710","111,442","569,883","7,574",0,"577,457"
Cramahe Twp,L0119,2019,Southern Ontario Library Service,Public or Union Library,6 King Street Box 190 ,6 King St. ,Colborne,Ontario,K0K1S0,www.cramahelibrary.ca ,"2,250","22,500",0,0,"22,500","79,423",613,39,"80,075"
Curve Lake FN,L0402,2019,Southern Ontario Library Service,First Nations Library,65 Chemong Street S. ,65 Chemong Street S. ,"Curve Lake,ON",Ontario,K0L1R0,http://clfnpubliclibrary.webs.com,270,"4,781",0,7,"4,788","77,998",0,0,"77,998"
Dawson LSB,L0483,2019,Ontario Library Service - North,Contracting LSB,P.O. Box 275 ,45 Front street ,Meldrum Bay,Ontario,P0P1R0,,0,0,0,0,0,0,0,0,0
Dawson Twp,L0130,2019,Ontario Library Service - North,Contracting Municipality,211 Fourth St P.O. Box 427 ,211 Fourth Street ,Rainy River,Ontario,P0W1L0,dawsontownship.weebly.com,0,0,0,0,0,0,0,0,0
Deep River,L0051,2019,Southern Ontario Library Service,Public or Union Library,55 Ridge Road P.O. Box 278 ,55 Ridge Road ,Deep River,Ontario,K0J1P0,www.deepriverlibrary.ca,"2,380","46,666",899,0,"47,565","79,423",613,39,"80,075"
Delaware FN,L0431,2019,Southern Ontario Library Service,First Nations Library,R.R. #3 ,Center Rd. ,Thamesville,Ontario,N0P2K0,,150,350,0,0,350,0,0,0,0
Deseronto,L0323,2019,Southern Ontario Library Service,Public or Union Library,P.O. Box 302 ,358 Main Street   P.O. Box 302 ,Deseronto,Ontario,K0K1X0,www.deserontopubliclibrary.ca,602,"24,293",53,0,"24,346","79,423",613,39,"80,075"
Dokis FN,L0403,2019,Ontario Library Service - North,First Nations Library,930 Main Street Box 3 ,930 Main Street Box 3 ,Dokis First Nation,Ontario,P0M2N1,www.dokisfirstnation.com,30,"3,139",0,0,"3,139",0,0,0,0
Dorion Twp,L0050,2019,Ontario Library Service - North,Public or Union Library,170 Dorion Loop Road ,170 Dorion Loop Road ,Dorion,Ontario,P0T1K0,www.dorionpubliclibrary.ca,192,"11,594",1,0,"11,595",0,0,0,0
Douro-Dummer Twp,L0136,2019,Southern Ontario Library Service,Public or Union Library,435 Douro 4th Line P.O. Box 23 ,435 4th Line Douro ,Douro,Ontario,K0L1S0,http://www.dourodummer.on.ca/library/,856,"14,319",100,0,"14,419","79,423",613,39,"80,075"
Dryden,L0138,2019,Ontario Library Service - North,Public or Union Library,36 Van Horne Avenue ,,Dryden,Ontario,P8N2A7,www.dryden.ca,"2,457","28,052",275,0,"28,327","79,423",613,39,"80,075"
