Library Full Name,Library Number,Year,Ontario Library Service Region,Service Type,Mailing Address,Street Address,City/Town,Province,Postal Code,Web Site Address,No. Cardholders,English Print Titles Held,French Print Titles Held,Other Print Titles Held,Total Print Titles Held,English E-book and E-audio Titles,French E-book and E-audio Titles,Other E-book and E-audio Titles,Total E-book and E-audio Titles
Addington Highlands Twp,L0005,2018,Southern Ontario Library Service,Public or Union Library,3641 Flinton Rd. Box 72 ,3641 Flinton Rd. ,Flinton,Ontario,K0H1P0,www.addingtonhighlandspubliclibrary.ca,910,"15,359",30,0,"15,389",0,0,0,0
Adjala-TosorontioTwp,L0003,2018,Southern Ontario Library Service,Contracting Municipality,7855 Sideroad 30 R.R. #1 ,7855 Sideroad 30 R.R. #1 ,Alliston,Ontario,L9R1V1,www.adjtos.ca,0,0,0,0,0,0,0,0,0
Admaston/Bromley Twp,L0002,2018,Southern Ontario Library Service,Public or Union Library,Hwy 60 P O Box 130 ,5346 Highway 60 ,Douglas,Ontario,K0J1S0,http://www.admastonbromleylibrary.com,458,"10,757",51,0,"10,808","82,335",619,41,"82,995"
Ajax,L0032,2018,Southern Ontario Library Service,Public or Union Library,55 Harwood Avenue South ,55 Harwood Avenue South ,Ajax,Ontario,L1S2H8,ajaxlibrary.ca,"34,613","88,897","6,545","6,105","101,547","28,472",0,0,"28,472"
Alberton Twp,L1098,2018,Ontario Library Service - North,Contracting Municipality,3 Highway 611 South RR1B2 ,3 Highway 611 South RR1B2 ,Township of Alberton,Ontario,P9A3M2,http://www.alberton.ca/,0,0,0,0,0,0,0,0,0
Alderville FN,L0390,2018,Southern Ontario Library Service,First Nations Library,10836 County Road 2 P.O. Box 46 ,10836 County Road 2 P.O. Box 46 ,Roseneath,Ontario,K0K2X0,http://aldervillelearningcentre.com/index.php/library.html,201,"5,701",0,23,"5,724","82,191",619,41,"82,851"
Alfred & Plantagenet Twp,L0004,2018,Southern Ontario Library Service,Public or Union Library,C.P. 10 ,1963 rue de l'H¿tel de Ville C.P. 10 ,Lefaivre,Ontario,K0B1J0,www.alfred-plantagenet.ca,"1,886","9,995","27,403",0,"37,398","82,191","6,447",41,"88,679"
Algonquins of Pikwakanagan FN,L0391,2018,Southern Ontario Library Service,First Nations Library,1657 A Mishomis Inamo ,1657 A Mishomis Inamo ,Golden Lake,Ontario,K0J1X0,http://algonquinsofpikwakanagan.com/library.php,63,"3,256",0,0,"3,256",0,0,0,0
Alnwick/Haldimand Twp,L0487,2018,Southern Ontario Library Service,Public or Union Library,2363 County Road 23 ,,Grafton,Ontario,K0K2G0,www.alnwickhaldimand.ca,431,"20,111",0,0,"20,111","82,191",619,41,"82,851"
Amaranth Twp,L0012,2018,Southern Ontario Library Service,Contracting Municipality,374028 6th Line ,374028 6th Line ,Amaranth,Ontario,L9W0M6,www.amaranth-eastgary.ca,0,0,0,0,0,0,0,0,0
Archipelago Twp,L0345,2018,Ontario Library Service - North,Contracting Municipality,9 James Street ,,Parry Sound,Ontario,P2A1T4,www.thearchipelago.on.ca,0,0,0,0,0,0,0,0,0
Armstrong Twp,L0013,2018,Ontario Library Service - North,Public or Union Library,C.P. 39 ,35 10th Street ,Earlton,Ontario,P0J1E0,http://www.olsn.ca/armstrong,250,"5,649","4,992",0,"10,641",0,0,0,0
Arnprior,L0014,2018,Southern Ontario Library Service,Public or Union Library,21 Madawaska Street ,21 Madawaska Street ,Arnprior,Ontario,K7S1R6,www.arnpriorlibrary.ca,"4,786","49,927",648,0,"50,575","82,191",619,41,"82,851"
Asphodel-Norwood,L0016,2018,Southern Ontario Library Service,Public or Union Library,- P.O. Box 100 ,2363 County Road 45 ,Norwood,Ontario,K0L2V0,www.anpl.org,373,"12,595",18,0,"12,613","82,191",619,41,"82,851"
Assiginack Twp,L0017,2018,Ontario Library Service - North,Public or Union Library,Manitowaning Box 280 ,25A Spragge St. ,Manitoulin Island,Ontario,P0P1N0,www.assiginacklibrary.org,724,"12,119",0,0,"12,119","82,191","61,941",0,"144,132"
Athens Twp,L0018,2018,Southern Ontario Library Service,Public or Union Library,P.O. Box 309 ,5 Central Street ,Athens,Ontario,K0E1B0,www.athenslibrary.ca,416,"9,162",78,0,"9,240","82,191",619,41,"82,851"
Atikameksheng Anishnawbek Band No. 6 FN,L0424,2018,Ontario Library Service - North,First Nations Library,25 reserve road ,212 Maaini Street ,Whitefish First Nation,Ontario,P0M2M0,http://www.wlfn.com,500,"1,500",0,0,"1,500",0,0,0,0
Atikokan,L0011,2018,Ontario Library Service - North,Public or Union Library,214 Skyes St. ,214 Sykes St. ,Atikokan,Ontario,P0T1C0,www.aplibrary.org,"2,475","34,184",224,0,"34,408","79,359",618,41,"80,018"
Augusta Twp,L0010,2018,Southern Ontario Library Service,Public or Union Library,R.R. #2 ,4500 County Road 15 ,Brockville,Ontario,K6V5T2,augustalibrary.com,"2,796","19,284",371,0,"19,655","82,191",619,41,"82,851"
Aundeck-Omni-Kaning FN,L1035,2018,Ontario Library Service - North,First Nations Library,P.O. Box 21  RR #1 ,13 Hill Street ,Little Current,Ontario,P0P1K0,,39,998,0,0,998,"82,191",619,41,"82,851"
Aurora,L0033,2018,Southern Ontario Library Service,Public or Union Library,15145 Yonge Street ,Yonge Street ,Aurora,Ontario,L4G1M1,www.aurorapl.ca,"26,992","115,246","3,288","1,286","119,820","180,393","3,057","2,154","185,604"
Aweres LSB,L0488,2018,Ontario Library Service - North,Contracting LSB,399 A Hwy 17 N ,399 A Hwy 17 N ,Aweres Twp.,Ontario,P6A5K7,localservicesboardofaweres@shaw.ca,0,0,0,0,0,0,0,0,0
Baldwin Twp,L0061,2018,Ontario Library Service - North,Contracting Municipality,P.O. Box 7095 ,11 Spooner St ,McKerrow,Ontario,P0P1M0,www.townshipofbaldwin.ca,0,0,0,0,0,0,0,0,0
Bancroft Town,L0062,2018,Southern Ontario Library Service,Public or Union Library,P.O. Box 127 ,14 Flint Street ,Bancroft,Ontario,K0L1C0,bancroftlibrary@bellnet.ca,"1,731","19,393",67,0,"19,460",0,0,0,0
Barrie,L0043,2018,Southern Ontario Library Service,Public or Union Library,60 Worsley St ,48 Dean Ave ,Barrie,Ontario,L4N0C2,library.barrie.ca,"39,076","150,124","10,085","3,323","163,532","34,919","5,828",358,"41,105"
Beausoleil First Nation Public Library,L0393,2018,Southern Ontario Library Service,First Nations Library,150 Mkade Kegwin MIIkan ,150 Mkade Kegwin MIIkan ,Christian Island,Ontario,L9M0A9,http://www.olsn.ca/bfnlibrary,377,"6,523",0,365,"6,888",0,0,0,0
Beckwith Twp,L0035,2018,Southern Ontario Library Service,Contracting Municipality,1702 9th Line Beckwith R.R.#2 ,1702 9th Line Beckwith R.R.#2 ,Carleton Place,Ontario,K7C3P2,www.twp.beckwith.on.ca,0,0,0,0,0,0,0,0,0
Belleville,L0081,2018,Southern Ontario Library Service,Public or Union Library,254 Pinnacle Street ,,Belleville,Ontario,K8N3B1,www.bellevillelibrary.com,"21,188","63,404","1,146",531,"65,081","82,191",619,41,"82,851"
Big Grassy FN,L0394,2018,Ontario Library Service - North,First Nations Library,P.O. Box 453 ,513 Beach Rd. ,Morson,Ontario,P0W1J0,www.biggrassy.ca/library,257,"8,579",0,0,"8,579",0,0,0,0
Biigtigong Nishnaabeg,L0456,2018,Ontario Library Service - North,First Nations Library,P. O. Box 216 ,21 Rabbit Drive ,Heron Bay,Ontario,P0T1R0,,105,"1,460",0,36,"1,496",0,0,0,0
Billings Twp,L0082,2018,Ontario Library Service - North,Public or Union Library,18 Upper Street P.O. Box 37 ,18 Upper Street P.O. Box 37 ,Kagawong,Ontario,P0P1J0,www.olsn.ca/billingslibrary,252,"6,336",0,0,"6,336","82,191",619,41,"82,851"
Bkejwanong FN,L0462,2018,Southern Ontario Library Service,First Nations Library,Walpole Island First Nation R.R. #3 ,136 Tecumseh Road ,Wallaceburg,Ontario,N8A4K9,www.bkejwanonglibrary.ca,633,"12,290",0,0,"12,290",0,0,0,0
Black River-Matheson Twp,L0083,2018,Ontario Library Service - North,Public or Union Library,P.O. Box 450 ,352 Second Street ,Matheson,Ontario,P0K1N0,,971,"14,941","2,705",0,"17,646",0,0,0,0
Blind River,L0429,2018,Ontario Library Service - North,Public or Union Library,8 Woodward Avenue P.O. Box 880 ,8 Woodward Avenue ,Blind River,Ontario,P0R1B0,http://www.olsn.ca/blindriverlibrary/,958,"15,073","2,864",0,"17,937","82,191",619,41,"82,851"
Bonfield,L0084,2018,Ontario Library Service - North,Public or Union Library,365 Highway 531 ,365 Highway 531 ,Bonfield,Ontario,P0H1E0,www.olsn.ca/bonfield,454,"9,601","1,273",0,"10,874","82,191",619,41,"82,851"
Bonnechere Union,L0080,2018,Southern Ontario Library Service,Public or Union Library,74 A Maple Street P.O. Box 39 ,74 A Maple Street ,Eganville,Ontario,K0J1T0,www.bonnechereupl.com,"2,103","15,079",171,0,"15,250","82,191",619,41,"82,851"
Bracebridge,L0070,2018,Southern Ontario Library Service,Public or Union Library,94 Manitoba Street ,94 Manitoba Street ,Bracebridge,Ontario,P1L2B5,www.bracebridge.library.on.ca,"7,719","31,334",489,0,"31,823","85,038",664,89,"85,791"
Bradford West Gwillimbury Town,L0086,2018,Southern Ontario Library Service,Public or Union Library,425 Holland Street West ,425 Holland Street West ,Bradford,Ontario,L3Z0J2,www.bradford.library.on.ca,"24,093","83,044","3,006","1,410","87,460","33,616",212,366,"34,194"
Brampton,L0041,2018,Southern Ontario Library Service,Public or Union Library,65 Queen Street East ,,Brampton,Ontario,L6W3L6,www.bramptonlibrary.ca,"145,000","161,699","6,625","11,812","180,136","101,063","6,005",231,"107,299"
Brant County,L0040,2018,Southern Ontario Library Service,Public or Union Library,12 William Street ,12 William Street ,Paris,Ontario,N3L1K7,www.brantlibrary.ca,"11,051","58,991",810,0,"59,801","5,346",0,0,"5,346"
Brantford,L0039,2018,Southern Ontario Library Service,Public or Union Library,173 Colborne Street ,,Brantford,Ontario,N3T2G8,brantford.library.on.ca,"17,340","151,937","2,513","3,756","158,206","407,155",0,0,"407,155"
Brighton Public Library Board,L0466,2018,Southern Ontario Library Service,Public or Union Library,35 Alice St P.O. Box 129 ,35 Alice Street ,Brighton,Ontario,K0K1H0,www.brighton.library.on.ca,"2,425","25,607",147,22,"25,776","82,309",619,41,"82,969"
Britt Area,L0322,2018,Ontario Library Service - North,LSB Library,P.O. Box 2 ,841 Riverside Drive ,Britt,Ontario,P0G1A0,britt.lib@hotmail.com,213,"8,058",43,0,"8,101",90,0,0,90
Brock Twp,L0038,2018,Southern Ontario Library Service,Public or Union Library,P.O. Box 310 ,401 Simcoe Street North ,Beaverton,Ontario,L0K1A0,www.brocklibraries.ca,"2,670","43,124",460,57,"43,641","82,521",619,41,"83,181"
Brockville,L0088,2018,Southern Ontario Library Service,Public or Union Library,P.O. Box 100 ,23 Buell Street ,Brockville,Ontario,K6V5T7,www.brockvillelibrary.ca,"7,143","39,191",599,30,"39,820","82,673",619,41,"83,333"
Bruce County,L0089,2018,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",1243 Mackenzie Road ,,Town of Saugeen Shores,Ontario,N0H2C6,library.brucecounty.on.ca,"28,931","72,630",721,13,"73,364","82,318",619,41,"82,978"
Bruce Mines & Plummer Additional Union,L0044,2018,Ontario Library Service - North,Public or Union Library,33 Desbarats Street P.O. Box 249 ,33 Desbarats Street ,Bruce Mines,Ontario,P0R1C0,www.bruceminesandplummerlibrary.ca,787,"11,686",0,0,"11,686","82,191",619,41,"82,851"
"Brudenell, Lyndoch & Raglan Twp",L0078,2018,Southern Ontario Library Service,Contracting Municipality,42 Burnt Bridge Road   Box 40 ,,Palmer Rapids,Ontario,K0J2E0,,0,0,0,0,0,0,0,0,0
"Burk's Falls, Armour & Ryerson Union",L0090,2018,Ontario Library Service - North,Public or Union Library,Copeland Street P.O. Box 620 ,39 Copeland Street ,Burk's Falls,Ontario,P0A1C0,www.burksfallslibrary.com,"1,082","12,187",83,0,"12,270","82,191",619,41,"82,851"
Burlington,L0037,2018,Southern Ontario Library Service,Public or Union Library,2331 New Street ,,Burlington,Ontario,L7R1J4,www.bpl.on.ca,"96,821","175,595","4,551","4,836","184,982","53,597",445,187,"54,229"
Caledon,L0049,2018,Southern Ontario Library Service,Public or Union Library,6500 Old Church Road ,,Caledon East,Ontario,L7C0H3,www.caledon.library.on.ca,"13,865","63,516","2,786",436,"66,738","587,053",645,43,"587,741"
Callander,L1036,2018,Ontario Library Service - North,Public or Union Library,30 Catherine Street P. O. Box 149 ,,Callander,Ontario,P0H1H0,mycallander.ca,"1,176","12,079",514,0,"12,593","82,191","6,447",41,"88,679"
"Calvin, Municipality of",L0092,2018,Ontario Library Service - North,Contracting Municipality,1355 Peddlers Dr. R.R. #2 ,1355 Peddlers Dr. R.R. #2 ,Mattawa,Ontario,P0H1V0,www.calvintownship.ca,0,0,0,0,0,0,0,0,0
Cambridge,L0104,2018,Southern Ontario Library Service,Public or Union Library,1 North Square ,1 North Square ,Cambridge,Ontario,N1S2K6,www.ideaexchange.org,"42,631","94,888","2,545",559,"97,992","36,081",209,320,"36,610"
Carleton Place,L0048,2018,Southern Ontario Library Service,Public or Union Library,101 Beckwith Street ,101 Beckwith Street ,Carleton Place,Ontario,K7C2T3,www.carletonplacelibrary.ca,"6,574","36,610","2,201",0,"38,811","82,191","6,447",41,"88,679"
Carling Twp,L0093,2018,Ontario Library Service - North,Contracting Municipality,2 West Carling Bay Rd RR1 ,29 Mary Street ,Parry Sound,Ontario,P2A1E3,www.carlingtownship.ca,0,0,0,0,0,0,0,0,0
Carlow/Mayo Public Library,L0106,2018,Southern Ontario Library Service,Public or Union Library,R.R. #4 ,124 Fort Stewart Road ,Bancroft,Ontario,K0L1C0,,85,"5,320",43,0,"5,363","82,191",619,41,"82,851"
Casey Twp,L0094,2018,Ontario Library Service - North,Contracting Municipality,P.O. Box 460 ,6 Lachapelle Street ,Belle Vallee,Ontario,P0J1A0,harlytwp@parolink.net,0,0,0,0,0,0,0,0,0
Casselman,L0107,2018,Southern Ontario Library Service,Public or Union Library,764 rue Br¿ beuf   C.P. 340 ,,Casselman,Ontario,K0A1M0,www.bibliocasselman.ca,"1,184","5,860","14,006",0,"19,866","82,191",619,41,"82,851"
"Cavan Monaghan Public Library Board, Township of",L0045,2018,Southern Ontario Library Service,Public or Union Library,1 Dufferin Street ,,Millbrook,Ontario,L0A1G0,cavanmonaghanlibraries.ca,"3,000","24,768",620,15,"25,403","87,691",619,41,"88,351"
Central Manitoulin Twp,L0109,2018,Ontario Library Service - North,Public or Union Library,6020 Hwy 542 P.O. Box 210 ,6020 Hwy 542 ,Mindemoya,Ontario,P0P1S0,www.centralmanitoulin.ca,"2,932",278,5,0,283,0,0,0,0
Centre Hastings,L0110,2018,Southern Ontario Library Service,Public or Union Library,P.O. Box 6 ,20 Davidson Street ,Madoc,Ontario,K0K2K0,madocpubliclibrary.ca,990,"17,308",13,0,"17,321","82,191",619,41,"82,851"
Chamberlain Twp,L0103,2018,Ontario Library Service - North,Contracting Municipality,467501 Chamberlain Road 5 R.R. #3 ,467501 Chamberlain Road 5 ,Englehart,Ontario,P0J1H0,chamberlaintownship.com,0,0,0,0,0,0,0,0,0
Champlain Twp,L0108,2018,Southern Ontario Library Service,Public or Union Library,94 Main Street East P.O. Box 520 ,94 Main Street East ,Vankleek Hill,Ontario,K0B1R0,www.bc-cl.ca,"1,899","11,483","4,137",0,"15,620","82,191","6,447",41,"88,679"
Chapleau Twp,L0112,2018,Ontario Library Service - North,Public or Union Library,20 Pine West 910 ,20 Pine West 910 ,Chapleau,Ontario,P0M1K0,www.olsn.ca/chapleau,376,"16,301","3,215",0,"19,516","82,191","6,444",41,"88,676"
Chapple Twp,L0097,2018,Ontario Library Service - North,Contracting Municipality,54 Barwick Road P.O. Box 4 ,54 Barwick Road ,Barwick,Ontario,P0W1A0,www.chapple.on.ca,0,0,0,0,0,0,0,0,0
"Charlton and Dack, Municipality of",L1034,2018,Ontario Library Service - North,Contracting Municipality,287237 Sprucegrove Road ,287237 Sprucegrove Road ,Englehart,Ontario,P0J1H0,charltonanddack.com,0,0,0,0,0,0,0,0,0
Chatham-Kent,L0121,2018,Southern Ontario Library Service,Public or Union Library,120 Queen Street ,120 Queen Street ,Chatham,Ontario,N7M2G6,www.ckpl.ca,"31,889","136,231","3,387","2,513","142,131","96,703","6,447",41,"103,191"
Chippewas of Georgina Island FN,L0396,2018,Southern Ontario Library Service,First Nations Library,Box N-13 R.R. #2 ,830 Chief Joseph Snake Road ,Sutton West,Ontario,L0E1R0,,223,2,0,0,2,0,0,0,0
Chippewas of Kettle & Stony Point FN,L0397,2018,Southern Ontario Library Service,First Nations Library,6265 Indian Lane #5 ,6265 Indian Lane #5 ,Kettle and Stony Point,Ontario,N0N1J1,http://ksplibrary.com,341,"1,397",0,0,"1,397",0,0,0,0
Chippewas of Nawash FN,L0411,2018,Southern Ontario Library Service,First Nations Library,R.R. #5 ,,Wiarton,Ontario,N0H2T0,,130,10,0,0,10,0,0,0,0
Chippewas of Rama FN,L0398,2018,Southern Ontario Library Service,First Nations Library,5884 Rama Road Suite 200 ,6147 Rama Road ,Rama,Ontario,L3V6H6,,775,"15,665",0,0,"15,665",0,0,0,0
Chippewas of the Thames FN,L0400,2018,Southern Ontario Library Service,First Nations Library,320 Chippewa Road ,328 Chippewa Road ,Muncey,Ontario,N0L1Y0,www.cottfn.com/page.php?subcategory1=library&id=13,50,"4,059",0,0,"4,059",0,0,0,0
Clarence-Rockland,L0120,2018,Southern Ontario Library Service,Public or Union Library,2-1525 avenue du Parc ,,Rockland,Ontario,K4K1C3,www.clarence-rockland.ca,"8,575","17,048","19,150",0,"36,198","80,211","6,642","5,312","92,165"
"Clarington, Municipality of",L0113,2018,Southern Ontario Library Service,Public or Union Library,163 Church Street ,,Bowmanville,Ontario,L1C1T7,http://www.clarington-library.on.ca,"38,368","74,100","4,640",91,"78,831","94,594",871,41,"95,506"
Clearview Twp,L0115,2018,Southern Ontario Library Service,Public or Union Library,201 Huron Street 160 ,201 Huron Street 160 ,Stayner,Ontario,L0M1S0,www.clearview.library.on.ca,"2,825","47,079",780,0,"47,859","12,701",147,0,"12,848"
Cobalt Twp,L0102,2018,Ontario Library Service - North,Public or Union Library,P.O. Box 170 ,30 Lang Street ,Cobalt,Ontario,P0J1C0,cobaltlibrary.com,278,"10,145",113,0,"10,258","82,191",619,41,"82,851"
Cobourg,L0116,2018,Southern Ontario Library Service,Public or Union Library,200 Ontario Street ,200 Ontario Street ,Cobourg,Ontario,K9A5P4,www.cobourg.library.on.ca,"10,123","48,255",787,84,"49,126","77,998",618,0,"78,616"
Cochrane Public Library Board,L0117,2018,Ontario Library Service - North,Public or Union Library,P.O. Box 700 ,178 4th Avenue ,Cochrane,Ontario,P0L1C0,www.olsn.ca/cochrane/,"2,015","26,125","5,876",0,"32,001","82,191",619,41,"82,851"
Coleman Twp,L0101,2018,Ontario Library Service - North,Contracting Municipality,R R # 1 ,937907 Marsh Bay Road ,Coleman Township,Ontario,P0J1C0,colemantownship.com,0,0,0,0,0,0,0,0,0
Collingwood,L0066,2018,Southern Ontario Library Service,Public or Union Library,55 St. Marie Street ,55 St. Marie Street ,Collingwood,Ontario,L9Y0W6,http://www.collingwoodpubliclibrary.ca,"9,460","48,946",494,205,"49,645","13,222",0,0,"13,222"
Cornwall,L0047,2018,Southern Ontario Library Service,Public or Union Library,Second Street East  P.O. Box 939 ,45 Second Street East ,Cornwall,Ontario,K6H1Y2,www.library.cornwall.on.ca,"12,227","81,703","28,215","2,498","112,416","82,191","6,447",41,"88,679"
Cramahe Twp,L0119,2018,Southern Ontario Library Service,Public or Union Library,6 King Street Box 190 ,6 King St. ,Colborne,Ontario,K0K1S0,www.cramahelibrary.ca ,"2,211","26,336",150,0,"26,486","82,191",619,41,"82,851"
Curve Lake FN,L0402,2018,Southern Ontario Library Service,First Nations Library,65 Chemong Street S. ,65 Chemong Street S. ,"Curve Lake,ON",Ontario,K0L1R0,http://clfnpubliclibrary.webs.com,269,"4,781",0,0,"4,781","77,998",618,41,"78,657"
Dawson LSB,L0483,2018,Ontario Library Service - North,Contracting LSB,P.O. Box 275 ,45 Front street ,Meldrum Bay,Ontario,P0P1R0,,0,0,0,0,0,0,0,0,0
Dawson Twp,L0130,2018,Ontario Library Service - North,Contracting Municipality,211 Fourth St P.O. Box 427 ,211 Fourth Street ,Rainy River,Ontario,P0W1L0,dawsontownship.weebly.com,0,0,0,0,0,0,0,0,0
Deep River,L0051,2018,Southern Ontario Library Service,Public or Union Library,55 Ridge Road P.O. Box 278 ,55 Ridge Road ,Deep River,Ontario,K0J1P0,www.deepriverlibrary.ca,"2,951","53,145","1,655",0,"54,800","82,191","6,447",41,"88,679"
Delaware FN,L0431,2018,Southern Ontario Library Service,First Nations Library,R.R. #3 ,Center Rd. ,Thamesville,Ontario,N0P2K0,,400,"4,181",0,5,"4,186",1,0,0,1
Deseronto,L0323,2018,Southern Ontario Library Service,Public or Union Library,P.O. Box 302 ,358 Main Street   P.O. Box 302 ,Deseronto,Ontario,K0K1X0,www.deserontopubliclibrary.ca,422,"21,602",50,0,"21,652","86,822",0,0,"86,822"
Dokis FN,L0403,2018,Ontario Library Service - North,First Nations Library,930 Main Street Box 3 ,930 Main Street Box 3 ,Dokis First Nation,Ontario,P0M2N1,www.dokisfirstnation.com,180,"4,365",20,0,"4,385","2,505",49,0,"2,554"
Dorion Twp,L0050,2018,Ontario Library Service - North,Public or Union Library,170 Dorion Loop Road ,170 Dorion Loop Road ,Dorion,Ontario,P0T1K0,www.dorionpubliclibrary.ca,206,"11,572",1,0,"11,573",0,0,0,0
Douro-Dummer Twp,L0136,2018,Southern Ontario Library Service,Public or Union Library,435 Douro 4th Line P.O. Box 23 ,435 4th Line Douro ,Douro,Ontario,K0L1S0,http://www.dourodummer.on.ca/library/,635,"13,621",1,0,"13,622","82,191",619,41,"82,851"
Dryden,L0138,2018,Ontario Library Service - North,Public or Union Library,36 Van Horne Avenue ,,Dryden,Ontario,P8N2A7,www.dryden.ca,"2,420","28,722",38,0,"28,760","82,191",619,41,"82,851"
Dubreuilville Twp,L0427,2018,Ontario Library Service - North,Public or Union Library,120 rue Magpie C.P. 39 ,120 rue Magpie ,Dubreuilville,Ontario,P0S1B0,www.dubreuilville.ca,365,155,723,0,878,"18,730",30,45,"18,805"
Ear Falls Twp,L0144,2018,Ontario Library Service - North,Public or Union Library,Willow P.O. Box 369 ,2 Willow Crescent ,Ear Falls,Ontario,P0V1T0,www.olsn.ca/earfallspl,223,"14,961",0,0,"14,961","82,344",619,41,"83,004"
East Ferris,L0145,2018,Ontario Library Service - North,Public or Union Library,1257 Village Road PO Box 160 ,1257 Village Road ,Astorville,Ontario,P0H1B0,www.efpl.ca,"1,115","9,885","3,425",0,"13,310","82,191","6,447",41,"88,679"
East Garafraxa Twp,L0146,2018,Southern Ontario Library Service,Contracting Municipality,191282 13th Line ,4 Amaranth Street ,Grand Valley,Ontario,L0N1G0,www.eastgary.ca,0,0,0,0,0,0,0,0,0
East Gwillimbury,L0147,2018,Southern Ontario Library Service,Public or Union Library,19513 Yonge Street P.O. Box 1609   ,,Holland Landing,Ontario,L9N1P2,www.egpl.ca,"7,400","35,481",662,0,"36,143","274,361","1,388",600,"276,349"
East Hawkesbury Twp,L0028,2018,Southern Ontario Library Service,Contracting Municipality,C.P. 340 ,5151 County Road No. 14 ,St. Eugene,Ontario,K0B1P0,easthawkesbury.ca,0,0,0,0,0,0,0,0,0
Edwardsburgh/Cardinal Twp,L0467,2018,Southern Ontario Library Service,Public or Union Library,5 Henderson St. Box 130 ,5 Henderson Street ,Spencerville,Ontario,K0E1X0,www.edcarlibrary.ca,"1,746","28,475",10,0,"28,485","82,191",619,41,"82,851"
Elgin County,L0151,2018,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",450 Sunset Drive ,450 Sunset Drive ,St. Thomas,Ontario,N5R5V1,www.elgincounty.ca/library,"10,975","100,163",322,178,"100,663","98,080",719,76,"98,875"
